speech_id,line_id,sentence_id,bert anger,nrc anger no 0,NRC anger,valence,arousal,dominance
S044,50,3,0.674292564,,0,0.629333333,0.352,0.402333333
S044,50,4,0.685751259,,0,0.767,0.466666667,0.640333333
S044,50,5,0.681520224,0.2,0.2,0.6757,0.3877,0.5947
S044,50,6,0.66952914,,0,0.758,0.428,0.4535
S044,50,7,0.634334683,,0,0.6015,0.3975,0.3805
S044,50,8,0.667802751,,0,0.640666667,0.488333333,0.571333333
S044,50,9,0.655691206,,0,0.571,0.37275,0.46275
S044,50,10,0.675165653,,0,0.668166667,0.376666667,0.518833333
S044,51,0,0.690552175,,0,0.786166667,0.3875,0.7225
S045,0,0,0.684565604,,0,0.6592,0.4342,0.5054
S045,0,1,0.684640944,,0,0.771571429,0.384857143,0.609
S045,0,2,0.666933775,,0,0.671666667,0.415,0.511
S045,0,3,0.669283509,,0,0.669,0.36575,0.58725
S045,0,4,0.703915298,,0,0.743333333,0.431,0.516
S045,0,5,0.682846069,0.1,0.1,0.612692308,0.387846154,0.559615385
S045,0,6,0.658863068,0.090909091,0.090909091,0.592473684,0.457,0.601736842
S045,0,7,0.683054447,0.1,0.1,0.594333333,0.486333333,0.6008
S045,0,8,0.661537111,,0,0.580636364,0.431863636,0.555909091
S045,1,0,0.685491502,,0,0.762666667,0.376333333,0.626666667
S045,1,1,0.670442998,,0,0.6945,0.407,0.5615
S045,1,2,0.704124928,,0,0.494227273,0.545318182,0.483772727
S045,1,3,0.64474386,,0,0.6705,0.595,0.567
S045,1,4,0.657301784,,0,0.704,0.563333333,0.596333333
S045,1,5,0.685458243,0.2,0.2,0.538555556,0.589,0.555888889
S045,1,6,0.6617468,,0,0.550888889,0.398222222,0.536
S045,1,7,0.664416075,,0,0.6325,0.50725,0.708
S045,1,8,0.689581335,,0,0.686,0.493,0.649
S045,1,9,0.680087984,,0,0.553777778,0.475888889,0.590444444
S045,1,10,0.680400968,,0,0.529416667,0.45175,0.530083333
S045,1,11,0.660983086,,0,0.692076923,0.425307692,0.638230769
S045,2,0,0.676544845,,0,0.765,0.361,0.704
S045,2,1,0.67900914,,0,0.4372,0.5996,0.4856
S045,2,2,0.672498286,,0,0.601083333,0.444,0.567083333
S045,2,3,0.676871836,,0,0.531444444,0.517888889,0.552777778
S045,2,4,0.674108863,,0,0.601444444,0.352111111,0.514222222
S045,2,5,0.685693085,,0,0.589777778,0.514,0.538111111
S045,2,6,0.692382038,,0,0.635666667,0.431333333,0.471333333
S045,2,7,0.685415626,,0,0.649333333,0.4185,0.488666667
S045,2,8,0.687763572,0.333333333,0.333333333,0.565,0.4466,0.5512
S045,2,9,0.701114178,,0,0.5243,0.4253,0.4744
S045,2,10,0.679129839,,0,0.684866667,0.408866667,0.499933333
S045,2,11,0.682216048,0.333333333,0.333333333,0.644,0.4475,0.647
